train_loss,train_acc_step,epoch,step,val_acc_step,val_loss,val_acc_epoch,train_acc_epoch,test_acc_step,test_loss,test_acc_epoch
,,,154,0.53125,,,,,,
,,,155,0.65625,,,,,,
,,,156,0.625,,,,,,
,,0,1406,,1.0485719442367554,0.6395999789237976,,,,
,,0,1406,,,,0.5414888858795166,,,
1.0793499946594238,0.5625,1,1449,,,,,,,
1.182447075843811,0.625,1,1499,,,,,,,
1.1867579221725464,0.625,1,1549,,,,,,,
1.382623314857483,0.53125,1,1599,,,,,,,
0.7628436088562012,0.78125,1,1649,,,,,,,
0.7017149329185486,0.78125,1,1699,,,,,,,
0.8812892436981201,0.71875,1,1749,,,,,,,
1.3215296268463135,0.53125,1,1799,,,,,,,
1.1760276556015015,0.59375,1,1849,,,,,,,
1.0810868740081787,0.71875,1,1899,,,,,,,
1.2958385944366455,0.53125,1,1949,,,,,,,
0.8829412460327148,0.71875,1,1999,,,,,,,
0.76087886095047,0.71875,1,2049,,,,,,,
1.0080510377883911,0.59375,1,2099,,,,,,,
1.5190279483795166,0.375,1,2149,,,,,,,
0.9894809126853943,0.65625,1,2199,,,,,,,
0.9190836548805237,0.625,1,2249,,,,,,,
0.6482813358306885,0.75,1,2299,,,,,,,
1.2643473148345947,0.65625,1,2349,,,,,,,
0.9357714653015137,0.71875,1,2399,,,,,,,
1.0626760721206665,0.65625,1,2449,,,,,,,
1.0922499895095825,0.625,1,2499,,,,,,,
0.6150017976760864,0.8125,1,2549,,,,,,,
1.5275769233703613,0.625,1,2599,,,,,,,
0.7083331942558289,0.78125,1,2649,,,,,,,
0.8524183630943298,0.6875,1,2699,,,,,,,
0.9403786063194275,0.71875,1,2749,,,,,,,
1.154830813407898,0.5625,1,2799,,,,,,,
,,,157,0.71875,,,,,,
,,,158,0.59375,,,,,,
,,,159,0.53125,,,,,,
,,,160,0.65625,,,,,,
,,,161,0.625,,,,,,
,,,162,0.5,,,,,,
,,,163,0.6875,,,,,,
,,,164,0.625,,,,,,
,,,165,0.53125,,,,,,
,,,166,0.5625,,,,,,
,,,167,0.5625,,,,,,
,,,168,0.53125,,,,,,
,,,169,0.65625,,,,,,
,,,170,0.53125,,,,,,
,,,171,0.625,,,,,,
,,,172,0.65625,,,,,,
,,,173,0.625,,,,,,
,,,174,0.59375,,,,,,
,,,175,0.75,,,,,,
,,,176,0.53125,,,,,,
,,,177,0.71875,,,,,,
,,,178,0.6875,,,,,,
,,,179,0.625,,,,,,
,,,180,0.5625,,,,,,
,,,181,0.84375,,,,,,
,,,182,0.65625,,,,,,
,,,183,0.53125,,,,,,
,,,184,0.71875,,,,,,
,,,185,0.59375,,,,,,
,,,186,0.65625,,,,,,
,,,187,0.53125,,,,,,
,,,188,0.65625,,,,,,
,,,189,0.59375,,,,,,
,,,190,0.53125,,,,,,
,,,191,0.65625,,,,,,
,,,192,0.6875,,,,,,
,,,193,0.53125,,,,,,
,,,194,0.78125,,,,,,
,,,195,0.5625,,,,,,
,,,196,0.59375,,,,,,
,,,197,0.71875,,,,,,
,,,198,0.625,,,,,,
,,,199,0.8125,,,,,,
,,,200,0.71875,,,,,,
,,,201,0.5625,,,,,,
,,,202,0.6875,,,,,,
,,,203,0.84375,,,,,,
,,,204,0.625,,,,,,
,,,205,0.53125,,,,,,
,,,206,0.53125,,,,,,
,,,207,0.6875,,,,,,
,,,208,0.78125,,,,,,
,,,209,0.625,,,,,,
,,,210,0.5625,,,,,,
,,,211,0.8125,,,,,,
,,,212,0.53125,,,,,,
,,,213,0.65625,,,,,,
,,,214,0.65625,,,,,,
,,,215,0.59375,,,,,,
,,,216,0.59375,,,,,,
,,,217,0.6875,,,,,,
,,,218,0.53125,,,,,,
,,,219,0.65625,,,,,,
,,,220,0.71875,,,,,,
,,,221,0.6875,,,,,,
,,,222,0.625,,,,,,
,,,223,0.53125,,,,,,
,,,224,0.5625,,,,,,
,,,225,0.53125,,,,,,
,,,226,0.6875,,,,,,
,,,227,0.71875,,,,,,
,,,228,0.5,,,,,,
,,,229,0.71875,,,,,,
,,,230,0.53125,,,,,,
,,,231,0.65625,,,,,,
,,,232,0.59375,,,,,,
,,,233,0.84375,,,,,,
,,,234,0.6875,,,,,,
,,,235,0.59375,,,,,,
,,,236,0.59375,,,,,,
,,,237,0.65625,,,,,,
,,,238,0.71875,,,,,,
,,,239,0.71875,,,,,,
,,,240,0.6875,,,,,,
,,,241,0.625,,,,,,
,,,242,0.59375,,,,,,
,,,243,0.5,,,,,,
,,,244,0.625,,,,,,
,,,245,0.6875,,,,,,
,,,246,0.6875,,,,,,
,,,247,0.65625,,,,,,
,,,248,0.625,,,,,,
,,,249,0.625,,,,,,
,,,250,0.5625,,,,,,
,,,251,0.5625,,,,,,
,,,252,0.375,,,,,,
,,,253,0.75,,,,,,
,,,254,0.59375,,,,,,
,,,255,0.65625,,,,,,
,,,256,0.59375,,,,,,
,,,257,0.625,,,,,,
,,,258,0.625,,,,,,
,,,259,0.625,,,,,,
,,,260,0.65625,,,,,,
,,,261,0.6875,,,,,,
,,,262,0.625,,,,,,
,,,263,0.59375,,,,,,
,,,264,0.65625,,,,,,
,,,265,0.71875,,,,,,
,,,266,0.78125,,,,,,
,,,267,0.59375,,,,,,
,,,268,0.59375,,,,,,
,,,269,0.71875,,,,,,
,,,270,0.53125,,,,,,
,,,271,0.5625,,,,,,
,,,272,0.625,,,,,,
,,,273,0.59375,,,,,,
,,,274,0.5625,,,,,,
,,,275,0.5625,,,,,,
,,,276,0.59375,,,,,,
,,,277,0.65625,,,,,,
,,,278,0.71875,,,,,,
,,,279,0.59375,,,,,,
,,,280,0.59375,,,,,,
,,,281,0.65625,,,,,,
,,,282,0.6875,,,,,,
,,,283,0.53125,,,,,,
,,,284,0.625,,,,,,
,,,285,0.53125,,,,,,
,,,286,0.5625,,,,,,
,,,287,0.53125,,,,,,
,,,288,0.75,,,,,,
,,,289,0.65625,,,,,,
,,,290,0.625,,,,,,
,,,291,0.625,,,,,,
,,,292,0.6875,,,,,,
,,,293,0.8125,,,,,,
,,,294,0.59375,,,,,,
,,,295,0.78125,,,,,,
,,,296,0.75,,,,,,
,,,297,0.75,,,,,,
,,,298,0.6875,,,,,,
,,,299,0.53125,,,,,,
,,,300,0.5,,,,,,
,,,301,0.78125,,,,,,
,,,302,0.59375,,,,,,
,,,303,0.65625,,,,,,
,,,304,0.6875,,,,,,
,,,305,0.5625,,,,,,
,,,306,0.5,,,,,,
,,,307,0.65625,,,,,,
,,,308,0.65625,,,,,,
,,,309,0.75,,,,,,
,,,310,0.5625,,,,,,
,,,311,0.625,,,,,,
,,,312,0.65625,,,,,,
,,,313,0.5,,,,,,
,,1,2813,,1.1807037591934204,0.6330000162124634,,,,
,,1,2813,,,,0.661644458770752,,,
0.7723045349121094,0.65625,2,2849,,,,,,,
0.8555130362510681,0.65625,2,2899,,,,,,,
0.909016489982605,0.59375,2,2949,,,,,,,
1.0748902559280396,0.625,2,2999,,,,,,,
1.198873519897461,0.65625,2,3049,,,,,,,
1.0973488092422485,0.625,2,3099,,,,,,,
0.7021397948265076,0.8125,2,3149,,,,,,,
0.8587772250175476,0.78125,2,3199,,,,,,,
0.710338830947876,0.84375,2,3249,,,,,,,
0.8225884437561035,0.78125,2,3299,,,,,,,
0.9131396412849426,0.75,2,3349,,,,,,,
0.9791774153709412,0.625,2,3399,,,,,,,
1.0823510885238647,0.6875,2,3449,,,,,,,
0.9993704557418823,0.59375,2,3499,,,,,,,
1.1625697612762451,0.59375,2,3549,,,,,,,
1.2617820501327515,0.5625,2,3599,,,,,,,
0.7326620221138,0.625,2,3649,,,,,,,
0.615181028842926,0.75,2,3699,,,,,,,
0.9488954544067383,0.59375,2,3749,,,,,,,
0.9532253742218018,0.71875,2,3799,,,,,,,
0.9680955410003662,0.6875,2,3849,,,,,,,
0.9417390823364258,0.625,2,3899,,,,,,,
1.4527926445007324,0.625,2,3949,,,,,,,
1.4431042671203613,0.5,2,3999,,,,,,,
1.0285346508026123,0.6875,2,4049,,,,,,,
0.7825046181678772,0.71875,2,4099,,,,,,,
